epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4329,1.11059,1.91874,1.09423,0.52165,0.56961,0.56444,0.41431,0.86817,2.08056,1.04295,0.000367944,0.000367944,0.000367944
2,76.5961,1.14468,1.41683,1.12484,0.68928,0.59999,0.60461,0.44988,0.85784,1.5879,1.0552,0.000734623,0.000734623,0.000734623
3,114.641,1.10644,1.36273,1.12448,0.68401,0.42014,0.55627,0.37085,1.16191,1.63342,1.23064,0.00109764,0.00109764,0.00109764
4,151.462,1.0985,1.23551,1.13144,0.47414,0.59889,0.56002,0.38519,0.97642,1.38264,1.15012,0.0010945,0.0010945,0.0010945
5,189.577,1.06586,1.21799,1.11743,0.6644,0.58589,0.65109,0.4901,0.89587,1.1441,1.09446,0.001089,0.001089,0.001089
6,229.592,1.05536,1.1536,1.1123,0.6778,0.51056,0.57769,0.43325,0.93627,1.30921,1.10265,0.0010835,0.0010835,0.0010835
7,268.243,1.0214,1.08848,1.09897,0.78067,0.58076,0.62988,0.46648,0.87604,1.18352,1.10051,0.001078,0.001078,0.001078
8,305.52,1.00298,1.08052,1.09311,0.76813,0.5747,0.69066,0.50615,0.87493,1.11071,1.09881,0.0010725,0.0010725,0.0010725
9,344.235,0.97329,1.01816,1.07604,0.86848,0.45877,0.67774,0.52393,0.82169,1.25903,1.06561,0.001067,0.001067,0.001067
10,384.043,0.95259,0.99718,1.06407,0.79963,0.58108,0.68501,0.53973,0.7998,1.11156,1.0411,0.0010615,0.0010615,0.0010615
11,422.69,0.9653,0.99978,1.07082,0.8371,0.60002,0.69432,0.5715,0.65462,0.9031,0.9735,0.00105601,0.00105601,0.00105601
12,460.773,0.93658,0.9388,1.0562,0.76486,0.54836,0.6419,0.4813,0.85193,1.19305,1.04354,0.00105051,0.00105051,0.00105051
13,498.287,0.92603,0.93198,1.04924,0.79243,0.58143,0.69185,0.55648,0.73137,0.97013,0.99655,0.00104501,0.00104501,0.00104501
14,536.409,0.93402,0.95609,1.07085,0.82472,0.57159,0.64709,0.48343,0.86513,1.02055,1.07732,0.00103951,0.00103951,0.00103951
15,573.255,0.89634,0.89156,1.04678,0.84765,0.60956,0.71614,0.58329,0.67485,0.86768,0.98472,0.00103401,0.00103401,0.00103401
16,611.021,0.91233,0.89251,1.05826,0.78947,0.59658,0.71583,0.5864,0.65075,0.93081,0.9803,0.00102851,0.00102851,0.00102851
17,648.763,0.88971,0.87901,1.04253,0.77956,0.58792,0.70182,0.55717,0.7809,1.00247,1.06124,0.00102301,0.00102301,0.00102301
18,687.813,0.90034,0.88932,1.05476,0.66757,0.66214,0.72195,0.57533,0.72248,0.84154,1.02714,0.00101751,0.00101751,0.00101751
19,725.72,0.87012,0.84553,1.03621,0.80833,0.64781,0.7283,0.61067,0.59631,0.83597,0.96126,0.00101201,0.00101201,0.00101201
20,764.38,0.84233,0.81324,1.01559,0.70551,0.49804,0.57006,0.45311,0.78009,1.11065,1.02753,0.00100651,0.00100651,0.00100651
21,802.491,0.85334,0.8235,1.02512,0.66408,0.52523,0.57875,0.43047,0.80328,1.39402,1.07321,0.00100101,0.00100101,0.00100101
22,840.565,0.85211,0.8237,1.03448,0.23524,0.23389,0.19254,0.13146,1.6875,2.79964,1.9661,0.000995512,0.000995512,0.000995512
23,878.005,0.86316,0.81626,1.03591,0.72759,0.73942,0.77281,0.64714,0.58794,0.68231,0.95857,0.000990012,0.000990012,0.000990012
24,915.956,0.84024,0.79258,1.01791,0.79687,0.69619,0.73967,0.59807,0.65774,0.75908,0.98231,0.000984513,0.000984513,0.000984513
25,952.677,0.82655,0.77487,1.01949,0.81138,0.5771,0.68309,0.54351,0.71272,0.9189,1.01921,0.000979013,0.000979013,0.000979013
26,992.685,0.81579,0.76809,1.01003,0.72994,0.70567,0.74555,0.59992,0.68146,0.77589,1.01811,0.000973514,0.000973514,0.000973514
27,1032.26,0.81958,0.78241,1.01074,0.54455,0.55556,0.55962,0.41323,1.03013,1.26329,1.26278,0.000968014,0.000968014,0.000968014
28,1072,0.81054,0.75975,1.01648,0.54937,0.67822,0.69032,0.5393,0.7446,0.93687,1.02821,0.000962515,0.000962515,0.000962515
29,1118.78,0.81166,0.75515,1.00478,0.85835,0.70916,0.75452,0.64208,0.56547,0.66647,0.95115,0.000957015,0.000957015,0.000957015
30,1159.43,0.79534,0.74839,0.99988,0.63116,0.5279,0.6424,0.49338,0.85334,1.17916,1.12855,0.000951516,0.000951516,0.000951516
31,1201.03,0.79756,0.73974,1.00578,0.51304,0.57061,0.52998,0.42284,0.69566,1.52771,0.99171,0.000946016,0.000946016,0.000946016
32,1243.32,0.79525,0.74595,0.99658,0.84945,0.62638,0.74432,0.61746,0.61538,0.77587,0.97528,0.000940517,0.000940517,0.000940517
33,1284.48,0.79593,0.74993,1.00794,0.46869,0.51296,0.49292,0.34034,1.2393,1.5774,1.39465,0.000935018,0.000935018,0.000935018
34,1326.1,0.78014,0.72641,0.99306,0.77899,0.66794,0.70967,0.5761,0.64701,0.84643,0.97832,0.000929518,0.000929518,0.000929518
35,1366.15,0.79652,0.72645,1.00553,0.62855,0.64187,0.67802,0.50696,0.87096,0.90116,1.09519,0.000924019,0.000924019,0.000924019
36,1406.73,0.77686,0.72699,0.99489,0.81568,0.59528,0.71245,0.59488,0.60852,0.81159,0.97063,0.000918519,0.000918519,0.000918519
37,1447.38,0.7826,0.7352,1.00112,0.84738,0.61481,0.73604,0.61618,0.58009,0.74529,0.95441,0.00091302,0.00091302,0.00091302
