epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9519,0.84066,1.51241,0.93729,0.69913,0.47409,0.54907,0.46097,0.53654,1.04635,0.84999,0.00332528,0.00332528,0.00332528
2,188.494,0.85915,1.06829,0.93983,0.77115,0.61237,0.60574,0.4936,0.63739,0.89194,0.88544,0.00662565,0.00662565,0.00662565
3,282.47,0.97025,1.1018,0.97451,0.70779,0.52486,0.57115,0.39033,0.90021,1.01591,1.00388,0.00989303,0.00989303,0.00989303
4,375.617,1.01531,1.12046,1.00238,0.61668,0.56011,0.54793,0.39513,0.87745,0.99845,1.01585,0.0098515,0.0098515,0.0098515
5,468.588,0.97103,1.00083,0.99139,0.66287,0.5222,0.50949,0.37716,0.86256,1.01928,1.01763,0.009802,0.009802,0.009802
6,561.535,0.93567,0.95417,0.98461,0.60874,0.45757,0.56056,0.43266,0.76548,0.97722,0.96274,0.0097525,0.0097525,0.0097525
7,654.319,0.89985,0.91901,0.98017,0.63102,0.0038,0.00108,0.00035,4.35958,7.1467,3.91386,0.009703,0.009703,0.009703
8,747.066,0.88355,0.87965,0.96995,0.41281,0.34189,0.30684,0.19516,1.33416,2.04846,1.31411,0.0096535,0.0096535,0.0096535
9,839.7,0.84566,0.86433,0.96058,0.25296,0.10611,0.08832,0.0524,2.60018,4.66842,2.24899,0.009604,0.009604,0.009604
10,932.47,0.83834,0.82793,0.96241,0.73604,0.59198,0.61154,0.49284,0.64818,0.82756,0.94136,0.0095545,0.0095545,0.0095545
11,1025.11,0.82342,0.81653,0.95848,0.00692,0.01628,0.00989,0.00771,4.79715,10.009,5.22667,0.009505,0.009505,0.009505
12,1117.4,0.81859,0.80458,0.95679,0.00085,0.00138,0.00043,0.00021,4.39508,7.27507,3.74986,0.0094555,0.0094555,0.0094555
13,1210.24,0.80867,0.79614,0.95666,0.44926,0.63273,0.55889,0.44668,0.65942,0.96072,0.93816,0.009406,0.009406,0.009406
14,1303.25,0.79372,0.77889,0.95872,0.6568,0.37936,0.40669,0.29375,1.04703,1.29459,1.13406,0.0093565,0.0093565,0.0093565
15,1396.18,0.79519,0.76968,0.95486,0.45795,0.58524,0.53958,0.40137,0.86207,1.08105,1.0239,0.009307,0.009307,0.009307
16,1488.8,0.76962,0.74125,0.95101,0.50624,0.16489,0.1864,0.12506,1.41367,2.6268,1.53548,0.0092575,0.0092575,0.0092575
17,1581.51,0.77998,0.75517,0.95007,0.51761,0.00648,0.00364,0.00187,2.70352,6.36002,2.68262,0.009208,0.009208,0.009208
18,1674.37,0.75908,0.73583,0.94586,0.01235,0.01813,0.00896,0.00354,2.35735,6.44689,2.40275,0.0091585,0.0091585,0.0091585
19,1767.36,0.77307,0.74367,0.95012,0.53733,0.51674,0.49756,0.37292,0.82892,1.11709,1.03959,0.009109,0.009109,0.009109
20,1860.11,0.74696,0.72078,0.93762,0.47724,0.50117,0.43952,0.31663,0.83423,1.32041,1.0712,0.0090595,0.0090595,0.0090595
21,1953.03,0.74542,0.71761,0.94124,0.66575,0.48014,0.48549,0.38308,0.73566,1.06484,0.98035,0.00901,0.00901,0.00901
22,2045.89,0.72972,0.7129,0.9325,0.30885,0.03888,0.03508,0.02454,1.71125,6.15043,1.88621,0.0089605,0.0089605,0.0089605
23,2139.06,0.73544,0.70887,0.93445,0.62881,0.68891,0.6722,0.57397,0.52448,0.65506,0.89082,0.008911,0.008911,0.008911
24,2232.69,0.73122,0.69868,0.93568,0.6069,0.62777,0.56714,0.45326,0.67358,1.118,0.95761,0.0088615,0.0088615,0.0088615
