epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.617,1.21788,3.31815,1.0722,0.00907,0.67812,0.21931,0.14248,0.87104,3.57288,0.89686,0.000360838,0.000360838,0.000360838
2,37.7121,1.13539,2.07241,1.0369,0.81309,0.11932,0.4894,0.33928,0.96689,2.85755,1.00699,0.000727552,0.000727552,0.000727552
3,51.3512,1.12391,1.76841,1.04403,0.60273,0.45539,0.48035,0.34032,0.94911,1.94407,1.01368,0.0010906,0.0010906,0.0010906
4,64.7248,1.04942,1.49924,1.02339,0.6288,0.59578,0.61076,0.42525,1.01002,1.54635,1.05296,0.0010945,0.0010945,0.0010945
5,78.554,1.02257,1.40842,1.01254,0.6855,0.56331,0.63775,0.45844,0.88768,1.37155,0.99762,0.001089,0.001089,0.001089
6,91.7361,1.00833,1.27742,1.00684,0.77348,0.58048,0.66266,0.52436,0.73714,1.19782,0.91772,0.0010835,0.0010835,0.0010835
7,105.616,0.9512,1.17443,0.99088,0.81083,0.5457,0.66262,0.51341,0.77476,1.11462,0.93025,0.001078,0.001078,0.001078
8,119.18,0.96041,1.15629,0.99996,0.57672,0.58447,0.57633,0.42764,0.90749,1.27752,0.96823,0.0010725,0.0010725,0.0010725
9,133.003,0.94808,1.06575,0.9951,0.74548,0.69016,0.69104,0.55114,0.739,1.01745,0.90715,0.001067,0.001067,0.001067
10,146.762,0.95087,1.02339,1.00169,0.82658,0.56797,0.68048,0.53992,0.75688,1.15733,0.94753,0.0010615,0.0010615,0.0010615
11,159.993,0.91172,0.96975,0.98386,0.80792,0.57267,0.67852,0.54964,0.70355,0.95559,0.91984,0.00105601,0.00105601,0.00105601
12,173.258,0.89913,0.93813,0.97438,0.60063,0.67773,0.67821,0.5433,0.72293,1.11013,0.93278,0.00105051,0.00105051,0.00105051
13,187.242,0.9044,0.93804,0.98076,0.68206,0.56765,0.65187,0.51757,0.75438,1.56721,0.94179,0.00104501,0.00104501,0.00104501
14,200.855,0.90572,0.91092,0.98597,0.73537,0.56533,0.69811,0.53467,0.84336,1.16878,0.94942,0.00103951,0.00103951,0.00103951
15,214.271,0.86748,0.87729,0.96314,0.82896,0.67078,0.76368,0.61598,0.68727,0.81985,0.90607,0.00103401,0.00103401,0.00103401
16,227.759,0.8875,0.87702,0.97618,0.6944,0.7106,0.72414,0.5852,0.70215,0.9206,0.91328,0.00102851,0.00102851,0.00102851
17,240.918,0.85871,0.88344,0.96762,0.71206,0.70899,0.71399,0.56566,0.74493,0.93001,0.93501,0.00102301,0.00102301,0.00102301
18,254.395,0.87398,0.86706,0.97636,0.73171,0.65746,0.69322,0.56687,0.67889,0.94144,0.90989,0.00101751,0.00101751,0.00101751
19,267.795,0.86931,0.84463,0.97193,0.70045,0.4822,0.56369,0.44246,0.75792,1.37183,0.96792,0.00101201,0.00101201,0.00101201
20,280.916,0.87304,0.85338,0.97441,0.62877,0.56824,0.64388,0.52296,0.71891,1.64017,0.96091,0.00100651,0.00100651,0.00100651
21,294.248,0.84421,0.80943,0.95898,0.6601,0.76102,0.75887,0.62648,0.6311,0.84597,0.89908,0.00100101,0.00100101,0.00100101
22,307.821,0.83812,0.78826,0.95199,0.5914,0.63973,0.68279,0.55265,0.71279,1.24786,0.92117,0.000995512,0.000995512,0.000995512
23,321.644,0.84013,0.82175,0.96467,0.62585,0.6418,0.69209,0.57416,0.67213,1.39814,0.92452,0.000990012,0.000990012,0.000990012
24,334.98,0.83769,0.79257,0.96297,0.54992,0.71806,0.71044,0.56734,0.74635,1.40042,0.94127,0.000984513,0.000984513,0.000984513
25,347.946,0.8533,0.79622,0.96754,0.65298,0.6759,0.72065,0.6051,0.60796,0.79634,0.88076,0.000979013,0.000979013,0.000979013
26,361.594,0.83601,0.81127,0.95515,0.55094,0.68862,0.64622,0.5008,0.82459,1.0925,0.95622,0.000973514,0.000973514,0.000973514
27,374.954,0.82953,0.78766,0.95642,0.63306,0.6544,0.72222,0.57262,0.73265,0.87057,0.90031,0.000968014,0.000968014,0.000968014
28,388.574,0.81475,0.76575,0.95195,0.77914,0.63962,0.69528,0.56993,0.66878,0.87962,0.91513,0.000962515,0.000962515,0.000962515
29,401.755,0.84532,0.76851,0.96085,0.69767,0.68299,0.74313,0.60988,0.64407,0.77924,0.89167,0.000957015,0.000957015,0.000957015
