epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3567,1.05347,2.55575,1.02411,0.68297,0.18421,0.22348,0.15972,0.90106,2.55616,0.94615,0.00330128,0.00330128,0.00330128
2,88.9584,0.98694,1.68258,0.97489,0.65701,0.50446,0.48758,0.3529,0.88327,1.40024,0.97502,0.00660177,0.00660177,0.00660177
3,128.428,1.05078,1.51524,0.98957,0.62185,0.52134,0.49657,0.33263,0.96018,1.65153,1.03615,0.00986927,0.00986927,0.00986927
4,167.892,1.02075,1.32715,0.99128,0.00026,0.03806,0.00015,4e-05,4.76462,6.46129,5.37914,0.0098515,0.0098515,0.0098515
5,206.939,0.96487,1.18259,0.97613,0.58417,0.54497,0.53014,0.40093,0.75917,1.57158,0.93029,0.009802,0.009802,0.009802
6,245.837,0.93519,1.06733,0.97635,0.5859,0.4785,0.46283,0.34566,0.84302,1.22836,0.98135,0.0097525,0.0097525,0.0097525
7,284.866,0.89497,0.98854,0.96081,0.68588,0.56982,0.57272,0.3814,0.96269,1.12778,1.04888,0.009703,0.009703,0.009703
8,323.815,0.89469,0.95524,0.96424,0.71248,0.47782,0.53057,0.38601,0.85586,1.2902,1.00542,0.0096535,0.0096535,0.0096535
9,361.195,0.86975,0.91199,0.95596,0.76024,0.58389,0.62306,0.49528,0.66433,0.84352,0.91223,0.009604,0.009604,0.009604
10,399.271,0.86763,0.90026,0.95476,0.76445,0.63761,0.65629,0.49975,0.73672,0.81918,0.93924,0.0095545,0.0095545,0.0095545
11,437.484,0.84145,0.86895,0.95007,0.68704,0.47298,0.52944,0.39674,0.77289,1.18229,0.96583,0.009505,0.009505,0.009505
12,474.319,0.84087,0.85188,0.95102,0.47906,0.61247,0.60839,0.48971,0.6313,0.97265,0.90944,0.0094555,0.0094555,0.0094555
13,511.832,0.83196,0.83302,0.94717,0.43465,0.431,0.37087,0.2422,1.36082,2.35883,1.21267,0.009406,0.009406,0.009406
14,550.29,0.81671,0.83341,0.94251,0.55024,0.62544,0.67065,0.51576,0.68257,0.81116,0.9369,0.0093565,0.0093565,0.0093565
15,589.157,0.80461,0.8159,0.94449,0.62901,0.57218,0.5411,0.42228,0.72129,1.15268,0.94569,0.009307,0.009307,0.009307
16,626.89,0.80655,0.81234,0.9426,0.72597,0.55474,0.58726,0.47618,0.64753,0.91481,0.90517,0.0092575,0.0092575,0.0092575
17,664.72,0.80221,0.78982,0.94235,0.47739,0.59977,0.53695,0.42786,0.73498,1.57281,0.94865,0.009208,0.009208,0.009208
18,703.444,0.78816,0.77891,0.93538,0.57802,0.56038,0.47629,0.36368,0.93753,2.03878,0.99713,0.0091585,0.0091585,0.0091585
19,741.291,0.77896,0.77442,0.92957,0.7262,0.49189,0.59429,0.49021,0.59651,0.87891,0.89765,0.009109,0.009109,0.009109
